,Tweet id,Tweet permalink,Tweet text,time,impressions,engagements,engagement rate,retweets,replies,likes,user profile clicks,url clicks,hashtag clicks,detail expands,permalink clicks,app opens,app installs,follows,email tweet,dial phone,media views,media engagements,promoted impressions,promoted engagements,promoted engagement rate,promoted retweets,promoted replies,promoted likes,promoted user profile clicks,promoted url clicks,promoted hashtag clicks,promoted detail expands,promoted permalink clicks,promoted app opens,promoted app installs,promoted follows,promoted email tweet,promoted dial phone,promoted media views,promoted media engagements,Month
26,1092529150446000000,https://twitter.com/CDNScience/status/1092529150446002181,"Genomics research is driving #cdninnovation in #health, #forestry, #agriculture, #fisheries, #mining, #energy and the #environment. @GenomeCanada https://t.co/D8t91wnTez #CanadaSupportsScience https://t.co/YdVwOlnu7m",2019-02-04 21:03 +0000,2872,37,0.0128830083565459,4,0,11,3,9,0,8,0,0,0,0,0,0,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Feb
27,1092528761222969984,https://twitter.com/CDNScience/status/1092528761222975491,Minister Duncan was at @uofg today to announce the results of three funding competitions through @GenomeCanada. Check out the winners: https://t.co/CNwq3E96Bg #CanadaSupportsScience,2019-02-04 21:02 +0000,2298,45,0.0195822454308094,1,0,3,3,25,1,12,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Feb
28,1092471619560310016,https://twitter.com/CDNScience/status/1092471619560312833,"How many Canadians live with #cancer? How do diagnoses differ among males and females? This #WorldCancerDay, get the facts you need to know, courtesy of @GovCanHealth: https://t.co/4hkiuZGEK4 https://t.co/KyJjtTE4Ou",2019-02-04 17:15 +0000,2356,19,0.00806451612903225,4,0,4,0,2,0,9,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Feb
29,1091439177693040000,https://twitter.com/CDNScience/status/1091439177693048833,Minister Duncan will be at @uofg on Monday to announce the results of three funding competitions through @GenomeCanada. https://t.co/xKItPIxufv #CanadaSupportsScience,2019-02-01 20:52 +0000,2022,33,0.016320474777448,1,0,2,4,21,2,2,0,0,0,1,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Feb
30,1091396102329379968,https://twitter.com/CDNScience/status/1091396102329384965,"What are GRDI shared priority projects? By mobilizing the best research capacity in federal labs, these projects tackle strategic #GoC priorities like food &amp; water safety. Learn more about past and upcoming projects: https://t.co/27dn1cLPTw #GRDICanada https://t.co/OVzYbOTULB",2019-02-01 18:01 +0000,11550,66,0.00571428571428571,4,0,5,5,14,9,9,0,0,0,2,0,0,18,18,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Feb
31,1091379425059500032,https://twitter.com/CDNScience/status/1091379425059500032,#DYK that newborn piping plover chicks only weigh as much as two pennies? Check out @environmentcaâ€™s Species at Risk Registry to learn more about endangered animals: https://t.co/4qBl32frhZ #cdnwildlife https://t.co/q49hZCgPFR,2019-02-01 16:55 +0000,2061,11,0.00533721494420184,2,0,3,2,1,1,0,0,0,0,0,0,0,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Feb
0,1123240875025400064,https://twitter.com/CDNScience/status/1123240875025403905,"FLASH! BOOM! When positive and negative charges separate within a cloud, lightning can occur! The process takes less than a second, but the science behind it is electrifying. https://t.co/yDyOdwyomT @environmentca #cdnsci https://t.co/8zXyKLcY7B",2019-04-30 15:01 +0000,1472,8,0.00543478260869565,0,0,3,1,2,0,0,0,0,0,0,0,0,121,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Apr
1,1122959702680370048,https://twitter.com/CDNScience/status/1122959702680379394,Minister Duncan was at @CanLightSource to announce @InnovationCA funding for #Canadaâ€™s top research labs. https://t.co/7sapDebnU2 #CFIfunded https://t.co/cnHZElt7CA,2019-04-29 20:23 +0000,4289,140,0.0326416414082536,5,0,25,12,41,0,13,0,0,0,0,0,0,44,44,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Apr
2,1122878536845600000,https://twitter.com/CDNScience/status/1122878536845602817,Want to score a date with science? Host a @Sci_Od event and your name will be added to its growing list of science outreach leaders: https://t.co/xcvhJTpkpe @NSERC_CRSNG #OdySci https://t.co/F3ZOqGgMzc,2019-04-29 15:01 +0000,3799,19,0.00500131613582521,3,0,3,1,7,2,2,0,0,0,0,0,0,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Apr
3,1121487707115590016,https://twitter.com/CDNScience/status/1121487707115597825,Congrats! #ChooseScience https://t.co/BEyW2d7e9l,2019-04-25 18:54 +0000,2748,8,0.00291120815138282,0,1,6,0,0,0,1,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Apr
