,Tweet id,Tweet permalink,Tweet text,time,impressions,engagements,engagement rate,retweets,replies,likes,user profile clicks,url clicks,hashtag clicks,detail expands,permalink clicks,app opens,app installs,follows,email tweet,dial phone,media views,media engagements,promoted impressions,promoted engagements,promoted engagement rate,promoted retweets,promoted replies,promoted likes,promoted user profile clicks,promoted url clicks,promoted hashtag clicks,promoted detail expands,promoted permalink clicks,promoted app opens,promoted app installs,promoted follows,promoted email tweet,promoted dial phone,promoted media views,promoted media engagements,Month
24,1114211492474290048,https://twitter.com/canadabusiness/status/1114211492474294272,"#DYK: Between 2004 and 2015, assets held by #cooperatives increased by 71%, from $17.5 billion to $29.9 billion. https://t.co/Aof8orDjlp https://t.co/zNcER1OBxp",2019-04-05 17:01 +0000,2507,7,0.00279218189070602,2,0,2,0,0,0,2,0,0,0,0,0,0,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Apr
25,1114192256075010048,https://twitter.com/canadabusiness/status/1114192256075010062,"Starting a business on your own can be tough. Find expert advice, funding and more to help support your #Cdnbiz. Everything government can do for business, all in one place: https://t.co/Vj16FuE9ji #InnovationCanada https://t.co/9WoIopReZv",2019-04-05 15:45 +0000,2723,26,0.00954829232464193,1,0,3,1,10,0,9,0,0,0,0,0,0,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Apr
26,1114181069589309952,https://twitter.com/canadabusiness/status/1114181069589315586,"#DYK: Between 2004 and 2015, total business volumes from #cooperatives increased by 60%, from $27.5 billion to $44.1 billion. https://t.co/LUhcJNACMa https://t.co/JqqRKnpOIp",2019-04-05 15:00 +0000,2462,18,0.00731112916328188,1,0,3,0,3,0,7,0,0,0,0,0,0,4,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Apr
27,1113867373046569984,https://twitter.com/canadabusiness/status/1113867373046575104,Attn #smallbiz owners â€“ filing your taxes doesnâ€™t have to be difficult. Check out @CanRevAgencyâ€™s services! https://t.co/KHSdujeccS,2019-04-04 18:14 +0000,5690,8,0.00140597539543058,1,0,2,1,0,0,4,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Apr
28,1113829853395069952,https://twitter.com/canadabusiness/status/1113829853395075073,"If you use part of your home for #business, you may be able to deduct maintenance costs when you file your #taxes. Learn more: https://t.co/Luk7xmRAIH #taxtip @CanRevAgency https://t.co/O8a5xoQ2ia",2019-04-04 15:45 +0000,7554,59,0.0078104315594387,6,0,6,5,27,2,9,0,0,0,0,0,0,4,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Apr
29,1113486578985389952,https://twitter.com/canadabusiness/status/1113486578985390081,Having trouble figuring out your small businessâ€™s #taxes? ðŸ’ No problem! Request a FREE visit from a @CanRevAgency Liaison Officer today and see just how easy it is to stay on track: https://t.co/t5Ua5x18fp #CdnTax #SmallBiz https://t.co/oE7uTqqTOs,2019-04-03 17:01 +0000,7086,43,0.00606830369743155,3,0,1,3,15,1,10,0,0,0,0,0,0,10,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Apr
30,1113105078595079936,https://twitter.com/canadabusiness/status/1113105078595084294,#YourBudget2019 is supporting #youngentrepreneurs with a proposed investment of $38M in @Futurpreneur. https://t.co/HOM0Qh1bUL https://t.co/E7Wi8Cdus4,2019-04-02 15:45 +0000,3274,38,0.011606597434331,2,0,5,6,6,2,9,0,0,0,0,0,0,8,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Apr
31,1113095006707939968,https://twitter.com/canadabusiness/status/1113095006707945474,"ATTN #coders, #developers &amp; #entrepreneurs: Weâ€™ve launched a design store to help you build new apps and services for Canadians. Check it out today! https://t.co/Jf6VVpYptq @TBS_SCT #GCdigital #GCAPIstore",2019-04-02 15:05 +0000,9063,408,0.0450182058920887,22,3,33,18,206,10,114,1,0,0,1,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Apr
32,1112784260950339968,https://twitter.com/canadabusiness/status/1112784260950343682,#Womenentrepreneurs: Get #biztips on managing the daily operations of your #smallbiz: https://t.co/8RXxNWcTpy https://t.co/e2ic9Iyrwm,2019-04-01 18:30 +0000,3944,23,0.00583164300202839,5,2,5,1,3,0,7,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Apr
33,1112742855116829952,https://twitter.com/canadabusiness/status/1112742855116836864,"Hey, #startups! #InnovationCanada can help you find programs to start up, grow or access new markets. https://t.co/udc2Zx4253",2019-04-01 15:45 +0000,4437,38,0.00856434527834122,6,0,11,1,0,5,5,0,0,0,0,0,0,460,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Apr
